Resistant Population	Latitude	Longitude
GarreQ	11.1834	4.010175
MessaQ	11.4939	3.87022
NkolondomQ	12.029658	3.889569
BiokoQ	8.762227	3.621166
KitweQ	28.216224	-12.820493
BouakeQ	-5.034896	7.686586
TiassaleQ	-4.525337	5.894169
MBeQ	-5.290961	7.407596
PembaMozQ	39.07175	-5.033095
PembaUngujaQ	39.812829	-5.100185
PembaDarQ	39.487757	-5.205355
WadMedaniQ	33.549063	14.403693
VK6Q	-4.804406	11.393167
BanforaQ	-4.959332	10.241188
Tiefora13Q	-4.565502	10.657163
Tiefora14Q	-4.048285	10.65997
JinjaMozQ	33.708973	0.463697
JinjaDongQ	33.000972	0.4308
DSSBAQ	-3.507667	11.171449
VK72012Q	-4.410994	11.387458
VK72011Q	-4.407822	10.985
TengrelaQ	-4.873018	10.703564
TiassaleMaliQ	-5.499587	6.073389
TiassaleOkyeroQ	-5.048025	5.636229
Tiassale2011Q	-5.299587	6.335516
KovieOkyeroQ	1.112002	6.641936
KovieMalanvilleQ	1.106351	6.140192
YouandeQ	11.707274	4.49242
DarQ	39.783121	-6.813521
MuhezaQ	39.07012	-6.823004
HaiQ	37.226842	-3.311877
